final_rank,title,year,genres,popularity_rank,rating_rank,final_score
267,Attack on Titan The Final Chapters: Special 1,,,N/A,106,696.25
268,"history of the entire world, i guess",,,N/A,108,697.75
269,VOLCANO,,"Science Fiction, Action, Drama, Thriller",N/A,109,698.50
270,Le Samouraï,,"Crime, Thriller",1429,455,698.50
271,Satantango,,Drama,2247,183,699.00
272,Mario Puzo's The Godfather: The Complete Novel for Television,,,N/A,110,699.25
273,Veneno,,"Action, Drama",N/A,113,701.50
274,The Lives of Others,,"Drama, Thriller",1662,383,702.75
275,National Theatre Live: Angels In America — Part Two: Perestroika,,Drama,N/A,115,703.00
276,The Human Condition II: Road to Eternity,,"War, Drama, History",N/A,116,703.75
277,Black Swan,,"Drama, Thriller, Horror",35,931,707.00
278,Okupas,,,N/A,122,708.25
279,Serial Experiments Lain,,,N/A,125,710.50
280,National Theatre Live: Angels In America — Part One: Millennium Approaches,,Drama,N/A,126,711.25
281,Shōgun,,"Documentary, Music",N/A,127,712.00
282,Making The Leftovers,,Documentary,N/A,128,712.75
283,The Cranes Are Flying,,"Drama, Romance, War",N/A,131,715.00
284,Adventure Time,,"Adventure, Animation, Comedy, Fantasy, Mystery, Family",N/A,132,715.75
285,My Chemical Romance: The Black Parade Is Dead!,,"Documentary, Music",N/A,133,716.50
286,Reservoir Dogs,,"Crime, Thriller",162,902,717.00
287,Hello FatherDog,,,N/A,134,717.25
288,John Mayer: Where the Light Is,Live in Los Angeles,Music,N/A,137,719.50
289,Garth Marenghi's Darkplace,,,N/A,138,720.25
290,Pan's Labyrinth,,"Fantasy, Drama, War",327,852,720.75
291,The Beatles: Get Back - The Rooftop Concert,,"Music, Documentary",N/A,143,724.00
292,Mysterious Skin,,Drama,669,743,724.50
293,James Acaster: Cold Lasagne Hate Myself 1999,,Comedy,N/A,144,724.75
294,Death Note,,"Crime, Fantasy, Horror",2312,197,725.75
295,Sansho the Bailiff,,Drama,N/A,147,727.00
296,Funeral Parade of Roses,,Drama,1979,310,727.25
297,Baseball,,,N/A,148,727.75
298,Hoop Dreams,,Documentary,N/A,150,729.25
299,The Ascent,,"Horror, Action, Science Fiction",N/A,154,732.25
300,Puss in Boots: The Last Wish,,"Animation, Adventure, Fantasy, Comedy, Family",121,937,733.00
301,Captain Ahab: The Story of Dave Stieb,,,N/A,155,733.00
302,Smiling Friends,,"Animation, Family",N/A,156,733.75
303,Coraline,,"Animation, Family, Fantasy",122,938,734.00
304,Revolutionary Girl Utena,,"Animation, Fantasy, Action, Romance",N/A,157,734.50
305,Nights of Cabiria,,Drama,2418,174,735.00
306,Steins;Gate,,"Science Fiction, Animation, Drama",N/A,158,735.25
307,Bluey: The Sign,,"Animation, Family, TV Movie",N/A,159,736.00
308,CALL ME IF YOU GET LOST LIVE,,"Music, Documentary",N/A,160,736.75
309,Tear Along the Dotted Line,,,N/A,162,738.25
310,A Very Sunny Christmas,,Comedy,N/A,163,739.00
311,Sherlock: The Reichenbach Fall,,,N/A,164,739.75
312,Raiders of the Lost Ark,,"Adventure, Action",283,892,739.75
313,Tie Xi Qu: West of the Tracks,,Documentary,N/A,165,740.50
314,Y Tu Mamá También,,"Drama, Romance",895,690,741.25
315,BTS: Yet to Come in Cinemas,,"Music, Documentary",N/A,167,742.00
316,Anatomy of a Fall,,"Thriller, Mystery, Crime",79,964,742.75
317,My Chemical Romance: Life on the Murder Scene,,"Documentary, Music",N/A,170,744.25
318,I Am Cuba,,Drama,N/A,175,748.00
319,Monster,,"Crime, Drama",2039,318,748.25
320,Arcane: Bridging the Rift,,,N/A,176,748.75
321,My Mister,,"Comedy, Drama, Romance",N/A,178,750.25
322,BTS Permission to Dance On Stage - Seoul: Live Viewing,,"Music, Documentary",N/A,180,751.75
323,BTS: Permission to Dance on Stage - LA,,"Music, Documentary",N/A,181,752.50
324,Falsettos,,"Music, Drama, Comedy, Romance",N/A,182,753.25
325,Move to Heaven,,Mystery,N/A,184,754.75
326,The Sacrifice,,Drama,2127,298,755.25
327,"Seven Worlds, One Planet",,,N/A,185,755.50
328,Twin Peaks: Fire Walk with Me,,"Drama, Mystery, Horror",944,694,756.50
329,Decalogue I,,"Drama, TV Movie",N/A,188,757.75
330,Twenty One Pilots: Livestream Experience,,Music,N/A,191,760.00
331,13th,,Documentary,2106,313,761.25
332,SUGA: Road to D-DAY,,"Documentary, Music",N/A,193,761.50
333,Gintama: The Very Final,,"Animation, Action, Comedy",N/A,194,762.25
334,Nirvana: Live at the Paramount,,"Music, Documentary",N/A,195,763.00
335,"Synecdoche, New York",,Drama,778,758,763.00
336,Brief Encounter,,"Drama, Romance",2206,282,763.00
337,Eternity and a Day,,Drama,N/A,196,763.75
338,This Is Going to Hurt,,Documentary,N/A,198,765.25
339,Taylor Swift: Speak Now World Tour Live,,"Music, Documentary",N/A,200,766.75
340,It's Always Sunny In Philadelphia: Sunny Side Up,,,N/A,201,767.50
341,The Beatles Anthology,,,N/A,202,768.25
342,Adventure Time: Distant Lands,,,N/A,204,769.75
343,boygenius: the film,,,N/A,205,770.50
344,Pearl Jam: MTV Unplugged,,"Music, Documentary",N/A,206,771.25
345,Witness for the Prosecution,,"Drama, Mystery, Crime",N/A,208,772.75
346,Forrest Gump,,"Comedy, Drama, Romance",38,1018,773.00
347,The Office Retrospective,,Documentary,N/A,209,773.50
348,A Man Escaped,,"Drama, Thriller",N/A,210,774.25
349,Hannibal: This Is My Design,,Documentary,N/A,211,775.00
350,Dear Zachary: A Letter to a Son About His Father,,"Documentary, Crime",N/A,212,775.75
351,Stand by Me,,"Crime, Drama",347,919,776.00
352,Mushi-Shi,,"Fantasy, Adventure, Mystery, Animation",N/A,214,777.25
353,Cléo from 5 to 7,,Drama,1108,669,778.75
354,For Sama,,"Documentary, War",N/A,216,778.75
355,Hamilton,,"History, Drama",758,786,779.00
356,James Acaster: Repertoire,,,N/A,218,780.25
357,The Celebration,,Drama,2023,369,782.50
358,Koyaanisqatsi,,Documentary,2210,307,782.75
359,Kill Bill: The Whole Bloody Affair,,"Action, Crime, Thriller",N/A,223,784.00
360,j-hope IN THE BOX,,"Documentary, Music",N/A,224,784.75
361,North by Northwest,,"Mystery, Thriller, Adventure",951,731,786.00
362,Red Beard,,Drama,N/A,226,786.25
363,Streetwise,,Documentary,N/A,227,787.00
364,Adventure Time: Fionna & Cake,,,N/A,228,787.75
365,The Midnight Gospel,,,N/A,229,788.50
366,Hans Zimmer: Live in Prague,,Music,N/A,230,789.25
367,Adventure Time: Stakes,,,N/A,231,790.00
368,Central Station,,Drama,1864,433,790.75
369,Primal,,"Action, Adventure, Thriller",N/A,234,792.25
370,Six Feet Under: In Memoriam,,Documentary,N/A,236,793.75
371,Army of Shadows,,"War, History, Thriller",N/A,237,794.50
372,Unforgiven,,Western,1193,662,794.75
373,An Elephant Sitting Still,,Drama,N/A,239,796.00
374,Ordet,,Drama,N/A,240,796.75
375,Tokyo Godfathers,,"Animation, Drama, Comedy",1366,608,797.50
376,Harry Styles: Behind the Album - The Performances,,"Music, Documentary",N/A,242,798.25
377,Harry Styles: Behind the Album,,"Music, Documentary",N/A,243,799.00
378,Landscape in the Mist,,Drama,N/A,245,800.50
379,Late Spring,,Drama,N/A,246,801.25
380,Radiohead: The King Of Limbs – Live From The Basement,,"Music, Documentary",N/A,248,802.75
381,Throne of Blood,,"Drama, History",1995,406,803.25
382,Apur Sansar,,Drama,N/A,249,803.50
383,Cosmos,,"Drama, Comedy, Fantasy",N/A,250,804.25
384,Sorcerer,,"Thriller, Adventure, Drama",1804,472,805.00
385,The Deer Hunter,,"Drama, War",1051,724,805.75
386,Weak Hero Class 1,,,N/A,253,806.50
387,Jam,,"Drama, Documentary",N/A,257,809.50
388,The Wages of Fear,,Action,N/A,259,811.00
389,Aliens,,"Action, Thriller, Science Fiction",496,917,811.75
390,It's a Sin,,Comedy,N/A,261,812.50
391,Paddington 2,,"Adventure, Comedy, Family",649,867,812.50
392,Homecoming: A Film by Beyoncé,,"Documentary, Music",N/A,262,813.25
393,Russia 1985-1999: TraumaZone,,,N/A,263,814.00
394,FLCL,,"Action, Comedy, Animation",N/A,264,814.75
395,Pink Floyd: Live at Pompeii,,"Music, Documentary",N/A,265,815.50
396,Malcolm X,,"Drama, History",1524,581,816.75
397,O Auto da Compadecida,,"Comedy, Drama, Fantasy",N/A,267,817.00
398,Society of the Snow,,"Drama, History",224,1015,817.25
399,The Civil War,,Drama,N/A,268,817.75
400,Still Walking,,"Drama, Family",2474,266,818.00
401,Banana Fish,,,N/A,269,818.50
402,A Silent Voice,,"Animation, Drama",716,853,818.75
403,Lemonade,,"Music, TV Movie",N/A,271,820.00
404,Attack on Titan: The Roar of Awakening,,"Animation, Action, Adventure, Fantasy",N/A,273,821.50
405,Amour,,"Drama, Romance",1580,570,822.50
406,Harry Styles: One Night Only in New York,,Music,N/A,275,823.00
407,Man with a Movie Camera,,Documentary,2176,373,823.75
408,Twinkling Watermelon,,,N/A,276,823.75
409,PLUTO,,Comedy,N/A,277,824.50
410,Eight Hours Don’t Make a Day,,Documentary,N/A,279,826.00
411,Mary and Max,,"Animation, Comedy, Drama",1719,529,826.50
412,Emilie Muller,,"Comedy, Drama",N/A,280,826.75
413,12 Years a Slave,,"Drama, History",474,946,828.00
414,The Big Lebowski,,"Comedy, Crime",231,1029,829.50
415,Millennium Actress,,"Animation, Drama, Romance, Fantasy",1636,561,829.75
416,Relaxing Old Footage With Joe Pera,,"Documentary, Comedy",N/A,284,829.75
417,SUGA | Agust D TOUR 'D-DAY' THE MOVIE,,"Music, Documentary",N/A,286,831.25
418,Duck Amuck,,"Animation, Comedy",N/A,287,832.00
419,Werckmeister Harmonies,,Drama,N/A,288,832.75
420,Seventeen: Power of Love,,"Music, Documentary",N/A,290,834.25
421,World of Tomorrow,,"Animation, Drama, Science Fiction",N/A,291,835.00
422,Revue Starlight: The Movie,,"Animation, Drama, Fantasy, Action, Music",N/A,293,836.50
423,Maid,,"Drama, Thriller, Mystery",N/A,295,838.00
424,Coco,,"Family, Animation, Music, Adventure",74,1094,839.00
425,Arrival,,"Drama, Science Fiction, Mystery",67,1097,839.50
426,Shutter Island,,"Drama, Thriller, Mystery",49,1103,839.50
427,Toy Story,,"Animation, Adventure, Family, Comedy",135,1075,840.00
428,Phantom Thread,,"Drama, Romance",435,976,840.75
429,Mononoke,,"Adventure, Fantasy, Animation",N/A,299,841.00
430,War and Peace,,"War, Romance, Drama, History",N/A,300,841.75
431,A Clockwork Orange,,"Science Fiction, Crime",152,1072,842.00
432,Blade Runner 2049,,"Science Fiction, Drama",68,1100,842.00
433,Taylor Swift City of Lover Concert,,Music,N/A,301,842.50
434,Twenty Years Later,,"Documentary, History",N/A,302,843.25
435,Decalogue V,,"Drama, TV Movie, Crime",N/A,303,844.00
436,To Be or Not to Be,,"Comedy, War",N/A,305,845.50
437,Pather Panchali,,Documentary,N/A,308,847.75
438,"Jenin, Jenin",,Documentary,N/A,312,850.75
439,Game of Thrones The IMAX Experience,,"Drama, Fantasy, Action",N/A,314,852.25
440,The Hunt,,"Action, Thriller, Horror",1731,560,852.75
441,Red Hot Chili Peppers: Live at Slane Castle,,"Music, Documentary",N/A,315,853.00
442,Z,,"Horror, Thriller",N/A,316,853.75
443,Harlan County U.S.A.,,Documentary,N/A,317,854.50
444,Das Boot,,"Drama, History, War",2285,380,856.25
445,Gaza Fights for Freedom,,Documentary,N/A,321,857.50
446,Baraka,,Documentary,N/A,322,858.25
447,The 5 Seconds of Summer Show,,"Music, Comedy, Documentary",N/A,325,860.50
